Date,ca,fr,ge,it,jp,uk,us
2004/11/4,0.793458,0.448856,0.704203,0.990269,0.763759,-0.076177,1.584446
2004/11/5,0.621402,0.690825,0.787134,0.626577,1.231048,0.577783,0.366455
2004/11/8,0.275593,0.235162,0.412771,0.672093,-0.641370,0.019827,-0.133643
2004/11/9,-0.317290,-0.453187,-0.402240,-0.570669,-0.415166,-0.077782,-0.080969
2004/11/10,-0.338968,0.405259,0.638394,0.147846,-1.076872,-0.251592,-0.089481
2004/11/11,0.384905,1.063819,0.781432,0.876367,-0.699171,0.667819,0.905514
2004/11/12,0.406955,0.284913,0.512134,0.302537,2.265516,0.823787,0.945710
2004/11/15,-0.480767,-0.381131,-0.119869,-0.223526,1.829399,0.144524,-0.021183
2004/11/16,1.091409,-0.442675,-0.138846,-0.424759,-0.103446,-0.432308,-0.688599
2004/11/17,0.428714,1.678878,1.938999,1.761945,0.568661,0.601896,0.575665
2004/11/18,-1.643736,-0.597695,-0.380597,-0.057382,-0.438276,-0.100857,0.148627
2004/11/19,0.776837,-0.342302,-0.451540,0.003899,1.242199,-0.511587,-1.129148
2004/11/22,1.656984,-0.679015,-0.434310,-0.861832,-2.169610,-0.622296,0.585787
2004/11/23,-0.352106,0.526520,0.085168,0.195117,-0.309524,0.925392,-0.029997
2004/11/24,0.437942,0.048487,0.853732,0.891067,0.776136,0.062000,0.423738
2004/11/25,0.765019,1.519215,1.407256,1.179218,0.699540,1.093666,0.000000
2004/11/26,0.284880,-0.238004,0.020330,-0.096153,-0.477409,-0.001422,0.072087
2004/11/29,-0.394356,0.163143,0.069899,-0.075492,1.315948,0.143481,-0.328014
2004/11/30,-0.924544,-0.634306,-0.428541,-0.206020,-0.674198,-0.010293,-0.407380
2004/12/1,0.847015,1.171388,1.524924,1.282306,-1.175852,1.520891,1.475269
2004/12/2,-0.555235,0.027031,0.445500,-0.061608,1.450576,0.149856,-0.108114
2004/12/3,-0.892730,0.057665,0.639380,0.581122,1.191604,0.684588,0.073373
2004/12/6,-0.177234,-0.005260,0.028997,0.772886,-0.856433,-0.361451,-0.070326
2004/12/7,-1.556753,0.520425,0.448427,0.551307,-1.093858,0.221818,-1.132898
2004/12/8,-1.188800,-1.522645,-1.466734,-0.674233,-1.141335,-1.244279,0.489883
2004/12/9,0.163348,-0.787473,-1.273322,-0.711249,-1.394568,-0.903565,0.542412
2004/12/10,-0.614862,0.272901,0.247064,0.363814,-0.978034,0.006916,-0.104655
2004/12/13,0.521451,1.505560,1.604835,1.002758,1.156713,1.310476,0.852623
2004/12/14,-0.054573,0.100834,0.146352,0.240367,0.479121,-0.165448,0.418857
2004/12/15,1.329701,0.761028,0.652711,0.944438,1.595559,1.184227,0.248317
2004/12/16,-0.843690,-0.774595,-0.558696,-0.825299,-0.226896,-0.326505,-0.230407
2004/12/17,0.377409,-1.905395,-1.348422,-0.576290,0.819048,-0.691049,-0.711744
2004/12/20,1.003503,1.638806,1.840613,1.820493,0.261844,1.393063,0.033744
2004/12/21,0.433015,-0.161094,-0.233158,-0.128313,-0.127781,-1.115861,0.930782
2004/12/22,-0.371615,1.046382,0.734061,0.957647,0.976197,0.231606,0.343132
2004/12/23,0.014365,1.246116,1.098938,1.170123,0.452514,0.555772,0.059819
2004/12/24,1.255891,0.335492,0.258898,0.258867,1.164327,0.559675,0.000000
2004/12/27,0.596348,0.500376,0.245020,0.524683,0.431923,0.388596,-0.429483
2004/12/28,-0.028599,0.070913,0.438958,0.113508,0.401204,-0.245941,0.724707
2004/12/29,-0.376590,-0.052178,-0.490678,-0.149914,-1.016599,-0.210095,-0.002108
2004/12/30,1.352107,0.359508,0.536136,0.364055,2.045204,0.320431,0.014401
2004/12/31,0.423881,-0.428937,-0.275542,-0.275551,0.549860,-0.164690,-0.131263
2005/1/3,-1.099813,-0.095924,-0.117202,-0.646988,-0.394460,-0.876214,-0.859651
2005/1/4,-2.091790,-1.161119,-1.258039,-0.978601,-1.141769,-0.359666,-1.171784
2005/1/5,-1.492699,-1.008758,-0.871425,-0.466420,-0.415209,-0.611535,-0.394567
